City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
429,quatre cocos,75,MU,1525143600,65,-20.21,57.76,78.8,11.41
430,naze,75,NG,1525140000,88,5.43,7.07,78.8,5.73
431,guerrero negro,68,MX,1525145691,93,27.97,-114.04,58.05,11.43
432,katsuura,40,JP,1525143600,49,33.93,134.5,73.4,6.93
433,abu samrah,0,SY,1525145936,87,35.3,37.18,58.5,3.38
434,buriti bravo,44,BR,1525145937,94,-5.84,-43.84,73.53,2.04
435,tarata,64,PE,1525145938,72,-17.47,-70.03,38.61,2.15
436,san matias,75,HN,1525143600,64,13.97,-86.63,69.8,6.93
437,sidhi,0,IN,1525145939,55,24.41,81.88,83.52,9.64
438,bhigvan,0,IN,1525145939,56,18.32,74.77,80.55,8.08
439,lunglei,56,IN,1525145940,78,22.89,92.75,75.69,1.59
440,whitehorse,75,CA,1525143600,39,60.72,-135.06,48.2,10.29
441,sioux lookout,90,CA,1525145400,55,50.1,-91.92,64.4,8.05
442,malinyi,80,TZ,1525145941,98,-8.94,36.14,68.49,2.04
443,lata,0,IN,1525145942,60,30.78,78.62,56.88,1.92
444,chuy,24,UY,1525145669,88,-33.69,-53.46,60.03,13.44
445,bronnoysund,8,NO,1525143000,52,65.46,12.2,41.0,18.34
446,zamosc,0,PL,1525145943,69,50.72,23.25,60.48,6.62
447,akdepe,0,TM,1525143600,47,42.05,59.39,57.2,9.17
448,chemal,32,RU,1525145944,40,51.41,86.0,62.46,7.96
449,madison,1,US,1525144500,35,43.07,-89.38,71.6,11.41
450,at-bashi,80,KG,1525145945,69,41.17,75.81,47.52,2.48
451,chapais,1,CA,1525143600,51,49.78,-74.86,37.4,2.24
452,tianpeng,80,CN,1525145946,100,28.88,112.34,73.89,5.73
453,talnakh,88,RU,1525145947,95,69.49,88.39,13.77,20.49
454,mayor pablo lagerenza,32,PY,1525145950,65,-19.93,-60.77,78.48,5.61
455,codrington,76,AU,1525145951,80,-28.95,153.24,67.68,6.62
456,dauriya,12,RU,1525145951,32,49.93,116.85,52.02,6.4
457,sorland,0,NO,1525145951,100,67.67,12.69,38.88,16.24
458,nyurba,36,RU,1525145952,50,63.29,118.35,50.31,6.62
459,fuling,76,CN,1525145952,93,29.71,107.39,71.37,3.49
460,huron,40,US,1525143300,72,44.36,-98.21,71.6,9.17
461,churapcha,0,RU,1525145953,45,62.0,132.43,42.3,5.39
462,gamba,24,CN,1525145953,93,28.28,88.52,25.38,3.04
